"Region","water_year","BPUE_ug"
"Confluence",1975,27887.0277905427
"Confluence",1976,67059.7922707716
"Confluence",1977,51108.2529562237
"Confluence",1978,31942.2558370911
"Confluence",1979,23405.307387454
"Confluence",1980,42993.6571457269
"Confluence",1981,39486.9713831922
"Confluence",1982,69008.5128279538
"Confluence",1983,6742.79361383095
"Confluence",1984,41449.8954977557
"Confluence",1985,50820.8301424636
"Confluence",1986,72021.8872357169
"Confluence",1987,26426.6377688847
"Confluence",1988,20524.8190005568
"Confluence",1989,24422.3499475983
"Confluence",1990,30310.6713338222
"Confluence",1991,26691.0059831074
"Confluence",1992,37517.9882066489
"Confluence",1993,29326.0298259707
"Confluence",1994,28182.0007017368
"Confluence",1995,11894.7661688947
"Confluence",1996,14122.1577135486
"Confluence",1997,19415.1794554017
"Confluence",1998,26183.3412257207
"Confluence",1999,25716.4761930317
"Confluence",2000,24944.3544658154
"Confluence",2001,20285.352154775
"Confluence",2002,21333.4215421404
"Confluence",2003,17955.3343247055
"Confluence",2004,20493.3366521365
"Confluence",2005,15900.5507907491
"Confluence",2006,23566.0394748879
"Confluence",2007,21935.5745388382
"Confluence",2008,24074.8221405761
"Confluence",2009,23795.8100326502
"Confluence",2010,25007.0820703642
"Confluence",2011,22283.5157990821
"Confluence",2012,24848.0788193671
"Confluence",2013,31655.4640608512
"Confluence",2014,41933.8124654579
"Confluence",2015,37818.8022060339
"Confluence",2016,36533.735619858
"Confluence",2017,48182.5652185261
"Confluence",2018,37926.2899811936
"Confluence",2019,34153.6638131478
"Confluence",2020,213.238998372413
"North",1975,556.093579884338
"North",1976,246.091222222222
"North",1977,669.811113888389
"North",1978,623.552738707845
"North",1979,505.341946794679
"North",1980,913.203960200942
"North",1981,710.00018
"North",1982,729.698153333333
"North",1983,462.16898615612
"North",1984,815.366062970114
"North",1985,653.031996742597
"North",1986,454.834677629369
"North",1987,624.620134507861
"North",1988,245.692198507595
"North",1989,838.930706666667
"North",1990,659.013806666667
"North",1991,1683.20143751059
"North",1992,2398.54273999489
"North",1993,1449.19657682369
"SouthCentral",1975,48389.5274148042
"SouthCentral",1976,33464.6335038336
"SouthCentral",1977,17673.3645278866
"SouthCentral",1978,15165.4574783548
"SouthCentral",1979,17187.6428333
"SouthCentral",1980,12697.0059881671
"SouthCentral",1981,14106.3891592375
"SouthCentral",1982,4181.58967595455
"SouthCentral",1983,3319.52034317534
"SouthCentral",1984,12909.4965540058
"SouthCentral",1985,12999.9993895563
"SouthCentral",1986,8599.0186828074
"SouthCentral",1987,13825.5157394938
"SouthCentral",1988,18366.0621897405
"SouthCentral",1989,23926.9740937997
"SouthCentral",1990,24888.5678547382
"SouthCentral",1991,29938.6273456525
"SouthCentral",1992,41991.3353749707
"SouthCentral",1993,34638.8346004008
"SouthCentral",1994,100398.099861286
"SouthCentral",1995,16728.7693929255
"SouthCentral",1996,19343.7812756202
"SouthCentral",1997,34990.8627194633
"SouthCentral",1998,17232.0399272682
"SouthCentral",1999,44446.816521441
"SouthCentral",2000,51191.4874891109
"SouthCentral",2001,38118.192937116
"SouthCentral",2002,68514.6121749093
"SouthCentral",2003,51179.4909830152
"SouthCentral",2004,41737.9696369732
"SouthCentral",2005,28909.5461210394
"SouthCentral",2006,12426.8309644531
"SouthCentral",2007,48862.3299283947
"SouthCentral",2008,46425.5384642529
"SouthCentral",2009,37780.2676906722
"SouthCentral",2010,37178.4184860202
"SouthCentral",2011,16312.6263679969
"SouthCentral",2012,39536.2058635061
"SouthCentral",2013,61289.9007906327
"SouthCentral",2014,86443.4293463618
"SouthCentral",2015,84794.2902089348
"SouthCentral",2016,72162.4968240137
"SouthCentral",2017,33212.1255972786
"SouthCentral",2018,63012.0595956214
"SouthCentral",2019,32213.8148149324
"SouthCentral",2020,12.3350596694307
"Suisun Bay",1975,91293.0834064109
"Suisun Bay",1976,63673.3759711015
"Suisun Bay",1977,51374.4904642599
"Suisun Bay",1978,104118.348003951
"Suisun Bay",1979,70551.4078056324
"Suisun Bay",1980,112590.189697444
"Suisun Bay",1981,63539.0211334362
"Suisun Bay",1982,100415.318026415
"Suisun Bay",1983,28969.5487183947
"Suisun Bay",1984,75588.3276174712
"Suisun Bay",1985,67782.8570419495
"Suisun Bay",1986,137734.204383734
"Suisun Bay",1987,32693.9209166745
"Suisun Bay",1988,8934.62003346201
"Suisun Bay",1989,18964.3448932127
"Suisun Bay",1990,8378.82605479683
"Suisun Bay",1991,10573.7765464788
"Suisun Bay",1992,24128.0777350574
"Suisun Bay",1993,36044.3925032394
"Suisun Bay",1994,13605.5620852005
"Suisun Bay",1995,14774.3848041016
"Suisun Bay",1996,12042.59733126
"Suisun Bay",1997,16454.2835890052
"Suisun Bay",1998,23502.7806683031
"Suisun Bay",1999,22262.0788033576
"Suisun Bay",2000,13518.0551256604
"Suisun Bay",2001,13839.2897029407
"Suisun Bay",2002,18318.4141436793
"Suisun Bay",2003,19577.0197527986
"Suisun Bay",2004,12499.0856568591
"Suisun Bay",2005,10959.8522904929
"Suisun Bay",2006,22540.9851951517
"Suisun Bay",2007,16152.1849446248
"Suisun Bay",2008,14399.0958524277
"Suisun Bay",2009,13333.1384237395
"Suisun Bay",2010,12201.3368923473
"Suisun Bay",2011,21214.4527534393
"Suisun Bay",2012,11569.5848580019
"Suisun Bay",2013,14833.8508912819
"Suisun Bay",2014,12110.8333119694
"Suisun Bay",2015,12262.7273400566
"Suisun Bay",2016,16849.147083138
"Suisun Bay",2017,34996.4636386483
"Suisun Bay",2018,16539.2124682333
"Suisun Bay",2019,39248.5180015848
"Suisun Bay",2020,695.321163314547
"Suisun Marsh",1975,79166.0667998561
"Suisun Marsh",1976,159898.059155385
"Suisun Marsh",1977,55440.6701585531
"Suisun Marsh",1978,142833.294954614
"Suisun Marsh",1979,99086.9892855627
"Suisun Marsh",1980,111340.209150186
"Suisun Marsh",1981,78153.6304665778
"Suisun Marsh",1982,59358.9487761794
"Suisun Marsh",1983,24241.7291446734
"Suisun Marsh",1984,67980.0498710343
"Suisun Marsh",1985,133074.751433438
"Suisun Marsh",1986,171182.723432507
"Suisun Marsh",1987,87853.285356108
"Suisun Marsh",1988,51884.1789126961
"Suisun Marsh",1989,119855.970691791
"Suisun Marsh",1990,73643.8214684839
"Suisun Marsh",1991,85371.6857404701
"Suisun Marsh",1992,26510.7670940949
"Suisun Marsh",1993,47378.2457141749
"Suisun Marsh",1994,20393.7570416048
"Suisun Marsh",1995,17127.8483849172
"Suisun Marsh",1996,14216.5846576885
"Suisun Marsh",1997,17453.2977532918
"Suisun Marsh",1998,34995.175345551
"Suisun Marsh",1999,32630.3356559685
"Suisun Marsh",2000,28585.519869444
"Suisun Marsh",2001,16648.7371605101
"Suisun Marsh",2002,32147.3539454301
"Suisun Marsh",2003,19416.9020961186
"Suisun Marsh",2004,22755.8714314388
"Suisun Marsh",2005,20105.5615132426
"Suisun Marsh",2006,33507.0819660746
"Suisun Marsh",2007,22979.8133811525
"Suisun Marsh",2008,31848.4176450543
"Suisun Marsh",2009,19637.2856415173
"Suisun Marsh",2010,18974.9804132349
"Suisun Marsh",2011,26003.770417921
"Suisun Marsh",2012,18717.1967875751
"Suisun Marsh",2013,18124.1468128543
"Suisun Marsh",2014,27296.0666950808
"Suisun Marsh",2015,27964.1831189367
"Suisun Marsh",2016,22347.0652007899
"Suisun Marsh",2017,40994.8435135319
"Suisun Marsh",2018,25339.1663574134
"Suisun Marsh",2019,33164.1543717816
"Suisun Marsh",2020,3464.68398841072
