"Season","water_year","BPUE_ug"
"Winter",1977,30413.3083343517
"Winter",1978,11608.4407269682
"Winter",1979,27778.4715038345
"Winter",1980,20156.2604241453
"Winter",1981,26565.9239907647
"Winter",1982,15402.8355321175
"Winter",1983,10452.6329958448
"Winter",1995,8166.99185696643
"Winter",1996,3881.32092338045
"Winter",1997,2495.59531169842
"Winter",1998,6075.23136623401
"Winter",1999,6277.5303082744
"Winter",2000,8301.93566706422
"Winter",2001,8959.48147967933
"Winter",2002,6100.68581012975
"Winter",2003,18688.0315894736
"Winter",2004,9525.95555008081
"Winter",2005,12340.2821596012
"Winter",2006,15176.2438177399
"Winter",2007,8301.65971385026
"Winter",2008,16687.5398065884
"Winter",2009,11007.5542703625
"Winter",2010,13990.3349900058
"Winter",2011,7386.43965283154
"Winter",2012,8517.2201545346
"Winter",2013,7935.29156367312
"Winter",2014,21880.7587078375
"Winter",2015,12683.4934561378
"Winter",2016,26848.5281934681
"Winter",2017,18098.6563859169
"Winter",2018,12401.9500795854
"Winter",2019,9382.17083986056
"Winter",2020,5187.4834356097
"Winter",2021,101.143079812496
"Spring",1975,38175.0827402015
"Spring",1976,90478.4485352478
"Spring",1977,25675.1460719531
"Spring",1978,56781.6966033443
"Spring",1979,46328.1921213235
"Spring",1980,72703.701324202
"Spring",1981,46692.290158652
"Spring",1982,22019.4410174079
"Spring",1983,14089.2151314169
"Spring",1984,44201.3847745414
"Spring",1985,46428.1540787434
"Spring",1986,91109.2877886626
"Spring",1987,67519.1390383229
"Spring",1988,27319.7942023284
"Spring",1989,24888.1797275123
"Spring",1990,25960.9952704475
"Spring",1991,25840.3594419822
"Spring",1992,36734.3627645203
"Spring",1993,24799.0956684636
"Spring",1994,45297.8040223955
"Spring",1995,8326.59558160358
"Spring",1996,9139.2510553671
"Spring",1997,9170.0478842898
"Spring",1998,13553.0211187305
"Spring",1999,22139.6992274983
"Spring",2000,15969.0515340317
"Spring",2001,18782.2114889286
"Spring",2002,11246.0243700948
"Spring",2003,13526.9892027084
"Spring",2004,13106.7413115015
"Spring",2005,6671.33460953449
"Spring",2006,6624.16714649688
"Spring",2007,18555.8498488351
"Spring",2008,29692.1024461589
"Spring",2009,15679.441586457
"Spring",2010,11482.8892211412
"Spring",2011,7768.52126807401
"Spring",2012,12268.6539691555
"Spring",2013,30868.5095645413
"Spring",2014,20421.0723799357
"Spring",2015,31565.2477422157
"Spring",2016,26804.1823624594
"Spring",2017,14700.950334972
"Spring",2018,21132.1628433424
"Spring",2019,23902.0987829671
"Spring",2020,369.209237407728
"Summer",1975,76740.035561286
"Summer",1976,77185.609231784
"Summer",1977,43553.1185484132
"Summer",1978,83207.4498057743
"Summer",1979,49622.5550261642
"Summer",1980,52590.5445509901
"Summer",1981,43073.061601237
"Summer",1982,92542.451457407
"Summer",1983,17506.3621166972
"Summer",1984,60305.7070088429
"Summer",1985,86376.0000024924
"Summer",1986,120777.040749432
"Summer",1987,23332.2863726997
"Summer",1988,25798.9934433573
"Summer",1989,62556.0733803554
"Summer",1990,33091.4883412372
"Summer",1991,47823.7429028324
"Summer",1992,22594.1060896058
"Summer",1993,50759.5116793726
"Summer",1994,45725.1324475406
"Summer",1995,15590.2247894295
"Summer",1996,19566.6556139441
"Summer",1997,20915.8877742828
"Summer",1998,35301.4225186027
"Summer",1999,37326.4238744607
"Summer",2000,40525.9931458039
"Summer",2001,26456.5031304236
"Summer",2002,51075.1124970779
"Summer",2003,35225.3525494335
"Summer",2004,29255.4242549936
"Summer",2005,22824.5617666851
"Summer",2006,47864.2527511719
"Summer",2007,37837.2705129275
"Summer",2008,28407.0193470932
"Summer",2009,26474.4652663026
"Summer",2010,29303.3475989882
"Summer",2011,33478.6026322818
"Summer",2012,28949.8475226528
"Summer",2013,29445.6218879629
"Summer",2014,60253.4316087156
"Summer",2015,45466.6833668153
"Summer",2016,44047.1510203043
"Summer",2017,66352.796180892
"Summer",2018,48839.1860601015
"Summer",2019,59623.3300058985
"Summer",2020,1966.77118976769
"Fall",1975,33459.9610934114
"Fall",1976,26941.1135069566
"Fall",1977,36531.6889121206
"Fall",1978,36820.5989985124
"Fall",1979,30491.2664077585
"Fall",1980,43026.3136898429
"Fall",1981,27832.2556335772
"Fall",1982,25654.548001087
"Fall",1983,6645.8792356243
"Fall",1984,14738.789578558
"Fall",1985,26394.7279212543
"Fall",1986,22109.272509342
"Fall",1987,6002.96253837871
"Fall",1988,6854.43575529211
"Fall",1989,25360.8890919731
"Fall",1990,23676.05669942
"Fall",1991,18890.8758871171
"Fall",1992,20199.557836334
"Fall",1993,13743.4121845295
"Fall",1994,30911.6282974346
"Fall",1995,21477.5061920962
"Fall",1996,16087.9340642768
"Fall",1997,36149.2819792988
"Fall",1998,27580.5592377991
"Fall",1999,34325.6572783901
"Fall",2000,32184.5180326873
"Fall",2001,21429.9643471542
"Fall",2002,42914.2144874467
"Fall",2003,32344.2186153366
"Fall",2004,30752.5319665607
"Fall",2005,27410.7366604234
"Fall",2006,14542.2833027567
"Fall",2007,26054.3067329949
"Fall",2008,29461.7837834811
"Fall",2009,28755.9694886748
"Fall",2010,29235.1265763456
"Fall",2011,23113.6501034737
"Fall",2012,29784.7982545293
"Fall",2013,34113.3904642109
"Fall",2014,45163.6023755011
"Fall",2015,45098.0710464405
"Fall",2016,40068.000163086
"Fall",2017,36985.7519601246
"Fall",2018,37141.1973984025
"Fall",2019,20559.6844622192
"Fall",2020,1042.42252458448
